,portfolio,benchmark
2016-03-15,0.9660898727378716,0.9794626372558549
2016-03-16,0.9751046054302425,0.984948012826742
2016-03-17,0.9831810039497463,0.9914439801768538
2016-03-18,0.9902409437593002,0.9958118744534061
2016-03-21,0.9945488646567926,0.9967933145466915
2016-03-22,0.9935917980315517,0.9959187639685165
2016-03-23,0.9827774670547921,0.9895588378194541
2016-03-24,0.9801896293612483,0.989184724516568
2016-03-28,0.9840099887292655,0.9897240307064427
2016-03-29,0.9968916857327647,0.9984501020309011
2016-03-30,1.0026089928069073,1.0027937032358372
2016-03-31,1.0038741489110623,1.0007482266057721
2016-04-01,1.009076949979985,1.0070838596832186
2016-04-04,0.9988189813827343,1.0038528811582939
2016-04-05,0.9880367273593201,0.9936692255368771
2016-04-06,1.000065115319021,1.0041103877174233
2016-04-07,0.9858345477324231,0.9920853172675157
2016-04-08,0.9890760576555863,0.9948498688174137
2016-04-11,0.9844536589708535,0.9921241861821014
2016-04-12,0.9910245989321297,1.001710232241765
2016-04-13,1.0080250927364294,1.011767563890779
2016-04-14,1.0065959167053857,1.011942474006414
2016-04-15,1.0051853417156025,1.010946458070159
2016-04-18,1.011552330606385,1.0175590321640275
2016-04-19,1.0049614529851785,1.0206976970168113
2016-04-20,1.0073767944933212,1.0214750753085224
2016-04-21,1.0022132523770666,1.0161694684675935
2016-04-22,1.0039462330152427,1.0162180546108255
2016-04-25,0.9988631009892069,1.0143766397823346
2016-04-26,1.0059906849931894,1.0162763579827037
2016-04-27,1.009455045332098,1.0179525799242062
2016-04-28,1.000880963971129,1.008556019823147
2016-04-29,0.9903855198978316,1.003449616169469
2016-05-02,0.9976936429768987,1.0112865610727824
2016-05-03,0.985438932956812,1.0025119036050922
2016-05-04,0.9777550709025264,0.9965601010591784
2016-05-05,0.9823023921197669,0.996322028957342
2016-05-06,0.9915531947472787,0.9994849868817419
2016-05-09,0.9937425829590617,1.0002380721018371
2016-05-10,1.0044749992592732,1.0127247109124484
2016-05-11,0.9871878461491002,1.0030414925663207
2016-05-12,0.9815558950280516,1.0028714410650088
2016-05-13,0.9698754077532953,0.9943688659994175
2016-05-16,0.9792443619105744,1.0041103877174236
2016-05-17,0.972327392449891,0.9946603828588092
2016-05-18,0.9724662778312306,0.9948644446603835
2016-05-19,0.9658922074990496,0.9911767563890784
2016-05-20,0.9767112348681664,0.9971431347779621
2016-05-23,0.9750915525055168,0.9950636478476345
2016-05-24,0.9903954961002941,1.0086774851812268
2016-05-25,0.9973440085236456,1.0157127587212134
2016-05-26,0.9947567710175585,1.0154989796909928
2016-05-27,1.0017215530497008,1.0198522981245757
